시도,시군구,SIG_CD
전북도,전주시,45110
전북도,전주시 완산구,45111
전북도,전주시 덕진구,45113
전북도,군산시,45130
전북도,익산시,45140
전북도,정읍시,45180
전북도,남원시,45190
전북도,김제시,45210
전북도,완주군,45710
전북도,진안군,45720
전북도,무주군,45730
전북도,장수군,45740
전북도,임실군,45750
전북도,순창군,45770
전북도,고창군,45790
전남도,부안군,45800
전남도,목포시,46110
전남도,여수시,46130
전남도,순천시,46150
전남도,나주시,46170
전남도,광양시,46230
전남도,담양군,46710
전남도,곡성군,46720
전남도,구례군,46730
전남도,고흥군,46770
전남도,보성군,46780
전남도,화순군,46790
전남도,장흥군,46800
전남도,강진군,46810
전남도,해남군,46820
전남도,영암군,46830
전남도,무안군,46840
전남도,함평군,46860
전남도,영광군,46870
전남도,장성군,46880
전남도,완료도군,46890
전남도,진도군,46900
경북도,신안군,46910
경북도,포항시,47110
경북도,포항시 남구,47111
경북도,포항시 북구,47113
경북도,경주시,47130
경북도,김천시,47150
경북도,안동시,47170
경북도,구미시,47190
경북도,영주시,47210
경북도,영천시,47230
경북도,상주시,47250
경북도,문경시,47280
경북도,경산시,47290
경북도,군위군,47720
경북도,의성군,47730
경북도,청송군,47750
경북도,영양군,47760
경북도,영덕군,47770
경북도,청도군,47820
경북도,고령군,47830
경북도,성주군,47840
경북도,칠곡군,47850
경북도,예천군,47900
경북도,봉화군,47920
경북도,울진군,47930
경남도,울릉군,47940
경남도,창원시,48120
경남도,창원시 마산합포구,48125
경남도,창원시 마산회원구,48127
경남도,창원시 성산구,48123
경남도,창원시 의창구,48121
경남도,창원시 진해구,48129
경남도,진주시,48170
경남도,통영시,48220
경남도,사천시,48240
경남도,김해시,48250
경남도,밀양시,48270
경남도,거제시,48310
경남도,양산시,48330
경남도,의령군,48720
경남도,함안군,48730
경남도,창녕군,48740
경남도,고성군,48820
경남도,남해군,48840
경남도,하동군,48850
경남도,산청군,48860
경남도,함양군,48870
경남도,거창군,48880
제주도,합천군,48890
제주도,제주시,50110
