순번,시도본부,119안전센터명,주소,전화번호,FAX,위도,경도
29,서울특별시,중곡119안전센터,서울특별시 광진구 용마산로 150 (중곡동),02-6981-6791,02-2201-4119,37.566949370,127.086646141
30,서울특별시,고일119안전센터,서울특별시 구로구 경인로 408 (고척동),02-2619-0119,02-2619-0121,37.497972165,126.865629440
31,서울특별시,고척119안전센터,서울특별시 구로구 고척로 195 (고척동),02-2618-3104,02-2616-0119,37.504919272,126.854882073
32,서울특별시,공단119안전센터,서울특별시 구로구 디지털로34길 56 (구로동),02-855-0119,02-837-7119,37.484223439,126.898432739
33,서울특별시,구로119안전센터,서울특별시 구로구 구로동로 175 (구로동),02-855-1119,02-864-0119,37.494251427,126.882546518
34,서울특별시,수궁119안전센터,서울특별시 구로구 오리로 1285 (궁동),02-2685-6119,02-2613-0119,37.496264850,126.829543076
35,서울특별시,신도림119안전센터,서울특별시 구로구 경인로59길 57 (신도림동),02-2671-8119,02-2671-2119,37.507347545,126.881196420
36,서울특별시,금천119안전센터,서울특별시 금천구 시흥대로 342(독산동),02-6981-6541,02-2187-8384,37.464020452,126.897885730
37,서울특별시,시흥119안전센터,서울특별시 금천구 시흥대로 45길 31(시흥동),02-6981-6551,02-2187-8385,37.448544107,126.900483610
38,서울특별시,공릉119안전센터,서울특별시 노원구 화랑로 482 (공릉동),02-6981-6979,02-975-0616,37.619071408,127.080696311
39,서울특별시,상계119안전센터,서울특별시 노원구 노원로26길 111 (상계동),02-6981-6969,02-3392-2736,37.655044998,127.071614585
40,서울특별시,수락119안전센터,서울특별시 노원구 동일로 1694 (상계동),02-6981-6999,02-939-6119,37.679682128,127.055735440
41,서울특별시,월계119안전센터,서울특별시 노원구 월계로 323 (월계동),02-6981-6989,02-994-0397,37.628807641,127.056392411
42,서울특별시,하계119안전센터,서울특별시 노원구 한글비석로 1길 8 (하계동),02-6981-6940,02-979-6119,37.638281431,127.071052116
43,서울특별시,도봉119안전센터,서울특별시 도봉구 노해로 152 (도봉동),02-6981-8182,02-2187-8277,37.648202251,127.026817883
44,서울특별시,방학119안전센터,서울특별시 도봉구 도봉로 666 (방학동),02-6981-8180,02-2187-8276,37.664211813,127.044046601
45,서울특별시,쌍문119안전센터,서울특별시 도봉구 노해로 152 (쌍문동),02-6981-8186,02-2187-8279,37.648202251,127.026817883
46,서울특별시,창동119안전센터,서울특별시 도봉구 해등로 25 (창동),02-6981-8184,02-2187-8278,37.646767456,127.043735669
47,서울특별시,용두119안전센터,서울특별시 동대문구 왕산로 76 (용두동),02-6942-1371,02-2187-8188,37.577864743,127.031736569
48,서울특별시,장안119안전센터,서울특별시 동대문구 장한로 34 (장안동),02-6942-1352,02-2187-8184,37.564041016,127.066711997
49,서울특별시,전농119안전센터,서울특별시 동대문구 황물로 3 (전농동),02-6942-1366,02-2187-8187,37.576322573,127.046018193
50,서울특별시,청량리119안전센터,서울특별시 동대문구 왕산로 299 (청량리동),02-6942-1361,02-2187-8186,37.587148971,127.052311960
51,서울특별시,휘경119안전센터,서울특별시 동대문구 망우로 106 (휘경동),02-6942-1376,02-2187-8189,37.590660566,127.065141131
52,서울특별시,노량진119안전센터,서울특별시 동작구 노량진로 187 (노량진동),02-6913-7881,02-813-5119,37.513669970,126.946968900
53,서울특별시,동작119안전센터,서울특별시 동작구 여의대방로16길 55 (신대방동),02-6913-7871,02-847-0900,37.494720426,126.917808954
54,서울특별시,백운119안전센터,서울특별시 동작구 사당로 63 (상도동),02-6913-7895,02-816-0709,37.494805662,126.961589102
55,서울특별시,상도119안전센터,서울특별시 동작구 국사봉1길 17 (상도동),02-6913-7888,02-825-0693,37.499035277,126.929469132
56,서울특별시,공덕119안전센터,서울특별시 마포구 만리재옛길 82 (공덕동),02-3274-0976,02-706-0119,37.550047435,126.959748083
57,서울특별시,상암119안전센터,서울특별시 마포구 월드컵로 42길 34 (상암동),02-309-5119,02-303-4119,37.579928641,126.881231961
58,서울특별시,서교119안전센터,서울특별시 마포구 양화로 60 (서교동),02-3143-2119,02-324-0119,37.550281942,126.915555965
59,서울특별시,성산119안전센터,서울특별시 마포구 월드컵북로 240 (성산동),02-304-0119,02-309-0096,37.570606726,126.903059720
60,서울특별시,신수119안전센터,서울특별시 마포구 창전로 76 (신수동),02-6981-7930,02-3275-2119,37.549393840,126.933203301
61,서울특별시,염리119안전센터,서울특별시 마포구 토정로 37길 27 (염리동),02-713-0965,02-713-0119,37.541728407,126.945571286
62,서울특별시,북가좌119안전센터,서울특별시 서대문구 증가로 242 (북가좌동),02-6981-5539,02-6981-5537,37.582870695,126.912989961
63,서울특별시,북아현119안전센터,서울특별시 서대문구 북아현로 37 (북아현동),02-6981-5559,02-6981-5557,37.560668234,126.955750969
64,서울특별시,연희119안전센터,서울특별시 서대문구 연희로 182 (연희동),02-6981-5520,02-6981-5527,37.573227418,126.935905583
65,서울특별시,홍은119안전센터,서울특별시 서대문구 홍은중앙로 83 (홍은동),02-6981-5549,02-6981-5547,37.598721355,126.947019441
66,서울특별시,반포119안전센터,서울특별시 서초구 사평대로 67 (반포동),02-6981-5939,02-599-0119,37.498783812,126.992021836
67,서울특별시,방배119안전센터,서울특별시 서초구 남부순환로 2155 (방배동),02-6981-5970,02-523-9119,37.475505514,126.988209289
68,서울특별시,서초119안전센터,서울특별시 서초구 효령로 400 (서초동),02-6981-5985,02-3486-2729,37.488027711,127.027596753
69,서울특별시,양재119안전센터,서울특별시 서초구 동산로 9 (양재동),02-6981-5980,02-508-1193,37.469468718,127.040824138
70,서울특별시,우면119안전센터,서울특별시 서초구 남부순환로340길 49 (서초동),02-6981-5995,02-598-3063,37.479572554,127.021882776
71,서울특별시,잠원119안전센터,서울특별시 서초구 서초중앙로29길 6 (반포동),02-6981-5990,02-594-3119,37.499070754,127.011601334
72,서울특별시,금호119안전센터,서울특별시 성동구 난계로 19 (금호동1가),02-2622-1771,02-2622-1779,37.554105848,127.024344615
73,서울특별시,성수119안전센터,서울특별시 성동구 뚝섬로 452 (성수동2가),02-2622-1751,02-2622-1759,37.537164276,127.060660119
74,서울특별시,왕십리119안전센터,서울특별시 성동구 고산자로 249 (도선동),02-2622-1761,02-2622-1769,37.562075133,127.035492522
75,서울특별시,행당119안전센터,서울특별시 성동구 살곶이길 331(행당동),02-2622-1740,02-2622-1749,37.553878875,127.039519765
76,서울특별시,길음119안전센터,서울특별시 성북구 정릉로 321 (길음동),02-6981-7372,02-2187-8208,37.602822987,127.019209049
77,서울특별시,돈암119안전센터,서울특별시 성북구 보문로 192 (삼선동4가),02-6981-7361,02-2187-8207,37.590990082,127.014442641
78,서울특별시,장위119안전센터,서울특별시 성북구 한천로 662-8 (장위동),02-6981-7383,02-2187-8209,37.617439370,127.057046953
79,서울특별시,종암119안전센터,서울특별시 성북구 종암로 27길 3 (종암동),02-6981-7351,02-2187-8205,37.602439541,127.031685855
80,서울특별시,가락119안전센터,서울특별시 송파구 양재대로 932 (가락동),02-6981-5395,02-406-1084,37.491358307,127.111421715
81,서울특별시,거여119안전센터,서울특별시 송파구 마천로 329 (마천동),02-6981-5362,02-404-7119,37.494193169,127.151840894
82,서울특별시,마천119안전센터,서울특별시 송파구 오금로51길 56 (마천동),02-6981-5343,02-3401-3119,37.499870771,127.142628059
83,서울특별시,방이119안전센터,서울특별시 송파구 강동대로 286 (방이동),02-6981-5372,02-409-8119,37.519786776,127.136545511
84,서울특별시,잠실119안전센터,서울특별시 송파구 석촌호수로 151 (잠실동),02-6981-5379,02-3431-2415,37.507316586,127.093893034
85,서울특별시,종합운동장119안전센터,서울특별시 송파구 올림픽로 25 (잠실동),02-6981-5387,02-417-0119,37.513460845,127.076571285
86,서울특별시,목동119안전센터,서울특별시 양천구 안양천로 1139 (목동),02-6981-8765,02-2644-4727,37.542775170,126.883558238
87,서울특별시,신월119안전센터,서울특별시 양천구 남부순환로 448 (신월동),02-6981-8790,02-2691-4189,37.527913225,126.833084198
88,서울특별시,신정119안전센터,서울특별시 양천구 신월로 268 (신정동),02-6981-8760,02-2601-0112,37.521775108,126.850956100
89,서울특별시,신트리119안전센터,서울특별시 양천구 신정로 238 (신정동),02-6981-8795,02-2691-1134,37.510600544,126.848001809
90,서울특별시,양천119안전센터,서울특별시 양천구 목동서로 180 (목동),02-6981-8750,02-2651-6119,37.530272770,126.872450314
91,서울특별시,당산119안전센터,서울특별시 영등포구 양평로 70-1 (당산동6가),02-2633-0119,02-2672-7118,37.535501948,126.899192275
92,서울특별시,대림119안전센터,서울특별시 영등포구 도림로 212 (신길동),02-846-0119,02-831-0119,37.497305340,126.904048445
93,서울특별시,신길119안전센터,서울특별시 영등포구 영등포로84길 31 (신길동),02-841-0119,02-834-0119,37.510456310,126.922201235
94,서울특별시,여의도119안전센터,서울특별시 영등포구 의사당대로 162 (여의도동),02-783-0119,02-785-1191,37.517227617,126.927972344
95,서울특별시,영등포119안전센터,서울특별시 영등포구 문래로 197 (영등포동4가),02-6981-7150,02-6981-7170,37.518453984,126.904180833
96,서울특별시,서빙고119안전센터,서울특별시 용산구 서빙고로67길 7 (서빙고동),02-6943-1570,02-796-1197,37.520813308,126.995020354
97,서울특별시,이촌119안전센터,서울특별시 용산구 이촌로2가길 1 (이촌동),02-6943-1560,02-712-0119,37.530052339,126.953422218
98,서울특별시,이태원119안전센터,서울특별시 용산구 이태원로 196 (이태원동),02-6943-1540,02-798-0119,37.534367809,126.995807583
99,서울특별시,한강로119안전센터,서울특별시 용산구 한강대로 167 (한강로2가),02-6943-1520,02-792-5117,37.534118559,126.971515051
100,서울특별시,후암119안전센터,서울특별시 용산구 후암로 34 (후암동),02-6943-1550,02-773-1179,37.548943722,126.977878106
101,서울특별시,녹번119안전센터,서울특별시 은평구 은평로 245 (녹번동),02-6981-6171,02-382-0667,37.601102063,126.935149745
102,서울특별시,수색119안전센터,서울특별시 은평구 수색로 320 (수색동),02-6981-6191,02-307-0041,37.585267560,126.889905814
103,서울특별시,역촌119안전센터,서울특별시 은평구 갈현로 80 (역촌동),02-6981-6181,02-356-0674,37.604982439,126.910670446
104,서울특별시,진관119안전센터,서울특별시 은평구 통일로 962 (진관동),02-6981-6151,02-389-0674,37.628756582,126.919788046
105,서울특별시,세종로119안전센터,서울특별시 종로구 율곡로 78(운니동),02-734-0119,02-723-8119,37.576777177,126.987642786
106,서울특별시,숭인119안전센터,서울특별시 종로구 숭인동길 63 (숭인동),02-929-0921,02-929-5289,37.577758937,127.021700692
107,서울특별시,신교119안전센터,서울특별시 종로구 자하문로 93 (신교동),02-737-8119,02-736-0119,37.584292949,126.970021474
108,서울특별시,신영119안전센터,서울특별시 종로구 진흥로 477 (신영동),02-391-0119,02-395-2119,37.605785515,126.960857804
109,서울특별시,연건119안전센터,서울특별시 종로구 대학로 91 (연건동),02-747-8119,02-762-0119,37.579428095,127.001840997
110,서울특별시,종로119안전센터,서울특별시 종로구 돈화문로 30 (묘동),02-747-7119,02-764-0119,37.571268155,126.992233428
111,서울특별시,망우119안전센터,서울특별시 중랑구 용마산로 524 (망우동),02-6981-8972,02-432-0119,37.597716189,127.100582414
112,서울특별시,면목119안전센터,서울특별시 중랑구 동일로 475 (면목동),02-6981-8962,02-435-0119,37.572821239,127.079869915
113,서울특별시,신내119안전센터,서울특별시 중랑구 신내로 183 (신내동),02-6981-8850,02-3422-1195,37.615387246,127.094855279
114,서울특별시,중화119안전센터,서울특별시 중랑구 동일로 783 (중화동),02-6981-8982,02-2207-0119,37.600461633,127.079329101
115,서울특별시,무학119안전센터,서울특별시 중구 퇴계로 394(무학동),02-6981-0159,02-2237-0693,37.564826109,127.015377774
116,서울특별시,신당119안전센터,서울특별시 중구 다산로8길 2 (신당동),02-6981-0199,02-2254-0119,37.552926511,127.009638760
117,서울특별시,을지로119안전센터,서울특별시 중구 을지로45길 43 (신당동),02-6981-0175,02-2235-0698,37.566727134,127.012011204
118,서울특별시,충무로119안전센터,서울특별시 중구 충무로 11 (충무로3가),02-6981-0183,02-2285-1122,37.562159559,126.992912418
119,서울특별시,회현119안전센터,서울특별시 중구 소공로 30 (회현동2가),02-6981-0191,02-753-0119,37.558173523,126.983368442
120,부산광역시,강동119안전센터,부산광역시 강서구 제도로 696(강동동),051-760-6042,051-760-6049,35.174717825,128.916022663
121,부산광역시,녹산119안전센터,부산광역시 강서구 녹산산단361로 9(송정동),051-760-6012,051-760-6019,35.089674793,128.856791247
122,부산광역시,대저119안전센터,부산광역시 강서구 대저로221번길 25(대저1동),051-760-6032,051-760-6039,35.215728521,128.976883962
123,부산광역시,신호119안전센터,부산광역시 강서구 신호산단4로 62(신호동),051-760-6022,051-760-6029,35.085473745,128.879547916
124,부산광역시,지사119안전센터,부산광역시 강서구 과학산단로333번길 3(지사동),051-760-6053,051-760-6059,35.148585858,128.833201063
125,부산광역시,남산119안전센터,부산광역시 금정구 두실로 46(남산동),051-760-6732,051-760-6739,35.261427931,129.086884946
126,부산광역시,부곡119안전센터,부산광역시 금정구 중앙대로 1789(부곡동),051-760-6711,051-760-6719,35.243896857,129.092392311
127,부산광역시,산성119안전센터,부산광역시 금정구 산성로 396(금성동),051-760-6752,051-760-6759,35.251062685,129.050915921
128,부산광역시,서동119안전센터,부산광역시 동래구 반송로 331(명장동),051-760-6723,051-760-6729,35.209009864,129.103298594
129,부산광역시,회동119안전센터,부산광역시 금정구 개좌로 286(회동동),051-760-6742,051-760-6749,35.233307996,129.127813978
130,부산광역시,송정119안전센터,부산광역시 해운대구 송정중앙로15번길 16(송정동),051-760-5432,051-760-5439,35.183810398,129.203021440
131,부산광역시,일광119안전센터,부산광역시 기장군 일광읍 해빛5로 15,051-760-5422,051-760-5429,35.260850527,129.221021837
132,부산광역시,장안119안전센터,부산광역시 기장군 기장읍 길천3길 11,051-760-5442,051-760-5449,,
133,부산광역시,정관119안전센터,부산광역시 기장군 정관읍 용수로 7(정관읍),051-760-5412,051-760-5419,35.324948020,129.179872239
134,부산광역시,감만119안전센터,부산광역시 남구 우암로 81(감만동),051-760-6822,051-760-6829,35.117718915,129.080517497
135,부산광역시,광안119안전센터,부산광역시 수영구 광일로 64(광안동),051-760-6812,051-760-6819,35.163165653,129.107039321
136,부산광역시,대연119안전센터,부산광역시 남구 수영로 279(대연동),051-760-6832,051-760-6839,35.136218886,129.097028430
137,부산광역시,망미119안전센터,부산광역시 수영구 연수로 330(망미동),051-760-6842,051-760-6849,35.171795907,129.106487964
138,부산광역시,용당119안전센터,부산광역시 남구 신선로 398(용당동),051-760-6852,051-760-6859,35.120671783,129.098633584
139,부산광역시,사직119안전센터,부산광역시 동래구 체육공원로 74(사직동),051-760-6352,051-760-6359,35.194656279,129.059243812
140,부산광역시,수안119안전센터,부산광역시 동래구 명륜로45번길 7(수안동),051-760-6322,051-760-6329,35.198178276,129.083841067
141,부산광역시,양정119안전센터,부산광역시 부산진구 연수로 44(양정동),051-760-6342,051-760-6349,35.175108043,129.073986715
142,부산광역시,연산119안전센터,부산광역시 연제구 고분로 216(연산동),051-760-6312,051-760-6319,35.184320119,129.105515732
143,부산광역시,온천119안전센터,부산광역시 동래구 우장춘로 196(온천동),051-760-6332,051-760-6339,35.223269523,129.077593973
144,부산광역시,가야119안전센터,부산광역시 부산진구 가야대로 627(가야동),051-760-6241,051-760-6249,35.155750568,129.040389991
145,부산광역시,당감119안전센터,부산광역시 부산진구 백양산로53번길 65(당감동),051-760-6261,051-760-6269,35.171692357,129.028529155
146,부산광역시,범일119안전센터,부산광역시 동구 범일로 115(범일동),051-760-6221,051-760-6229,35.140468084,129.059042563
147,부산광역시,부암119안전센터,부산광역시 부산진구 신천대로 282(부암동),051-760-6251,051-760-6259,35.166878180,129.050723471
148,부산광역시,부전119안전센터,부산광역시 부산진구 서전로 43(전포동),051-760-6211,051-760-6219,35.158011507,129.064634665
149,부산광역시,수정119안전센터,부산광역시 동구 중앙대로 383-1(수정동),051-760-6231,051-760-6239,35.129611522,129.049216815
150,부산광역시,안창119안전센터,부산광역시 동구 안창로 62(범일동),051-760-6271,051-760-6279,35.146014005,129.041755648
151,부산광역시,구포119안전센터,부산광역시 북구 만덕대로 31(덕천동),051-760-5322,051-760-5329,35.211149667,129.008364684
152,부산광역시,금곡119안전센터, 부산광역시 북구 금곡대로 680(금곡동),051-760-5312,051-760-5319,35.267336609,129.017616874
153,부산광역시,만덕119안전센터,부산광역시 북구 함박봉로 142(만덕동),051-760-5342,051-760-5349,35.204810587,129.033188373
154,부산광역시,화명119안전센터,부산광역시 북구 금곡대로 184(화명동),051-760-5332,051-760-5339,35.225264923,129.010305094
155,부산광역시,감전119안전센터,부산광역시 사상구 가야대로 41(감전동),051-760-6422,051-760-6429,35.151840854,128.977390984
156,부산광역시,모라119안전센터,부산광역시 사상구 백양대로 950(모라동),051-760-6472,051-760-6479,35.190967994,128.992260795
157,부산광역시,삼락119안전센터,부산광역시 사상구 삼덕로 17(삼락동),051-760-6412,051-760-6419,35.174373038,128.979051250
158,부산광역시,주례119안전센터,부산광역시 사상구 양지로22(주례동),051-760-6462,015-760-6469,35.154253173,129.004406093
159,부산광역시,학장119안전센터,부산광역시 사상구 학감대로 89(학장동),051-760-6482,051-760-6489,35.139681239,128.990455223
160,부산광역시,감천119안전센터,부산광역시 사하구 원양로 405(감천동),051-760-6552,051-760-6559,35.086300773,129.004796524
161,부산광역시,괴정119안전센터,부산광역시 사하구 낙동대로 262(괴정동),051-760-6522,051-760-6529,35.099419445,128.988384762
162,부산광역시,다대119안전센터,부산광역시 사하구 다대로 622(다대동),051-760-6542,051-760-6549,35.051180038,128.970370153
163,부산광역시,신평119안전센터,부산광역시 사하구 장평로 270(신평동),051-760-6512,051-760-6519,35.089981698,128.973846303
164,부산광역시,하단119안전센터,부산광역시 사하구 낙동남로 1407(하단동),051-760-6532,051-760-6539,35.106523740,128.965590780
165,부산광역시,부민119안전센터,부산광역시 서구 임시수도기념로 21-4(부민동3가),051-760-6124,051-760-6129,35.103217101,129.018605256
166,부산광역시,중앙119안전센터,부산광역시 중구 중앙대로 110(중앙동4가),051-760-6112,051-760-6119,35.107031672,129.036864857
167,부산광역시,창선119안전센터,부산광역시 중구 대청로 68-1(부평동1가),051-760-6142,051-760-6149,35.102848058,129.027343992
168,부산광역시,초량119안전센터,부산광역시 동구 중앙대로 260번길 7(초량동),051-760-6152,051-760-6159,35.119801547,129.043147064
169,부산광역시,충무119안전센터,부산광역시 서구 충무대로 186(남부민동),051-760-6131,051-760-6139,35.087088304,129.024788230
170,부산광역시,동삼119안전센터,부산광역시 영도구 해양로 297(동삼동),051-760-6912,051-760-6919,35.081786495,129.076867455
171,부산광역시,부두119안전센터,부산광역시 동구 충장대로 286(좌천동),051-760-6932,051-760-6939,35.125623721,129.052236196
172,부산광역시,영선119안전센터,부산광역시 영도구 태종로 115(영선동1가),051-760-6922,051-760-6929,35.091013336,129.043504733
173,부산광역시,청학119안전센터,부산광역시 영도구 태종로 274(청학동),051-760-6942,051-760-6949,35.098126535,129.056599799
174,부산광역시,반송119안전센터,부산광역시 해운대구 아랫반송로 10,051-760-6662,051-760-6669,35.225391671,129.146993216
175,부산광역시,반여119안전센터,부산광역시 해운대구 선수촌로 21번길 64(반여동),051-760-6632,051-760-6639,35.197408187,129.117841915
176,부산광역시,센텀119안전센터,부산광역시 해운대구 센텀동로 50(우동),051-760-6652,051-760-6659,35.173770097,129.130760195
177,부산광역시,우동119안전센터,부산광역시 해운대구 해운대해변로 106(우동),051-760-6612,051-760-6619,35.159543903,129.143748200
178,부산광역시,좌동119안전센터,부산광역시 해운대구 대천로67번길 35(좌동),051-760-6642,051-760-6649,35.173650720,129.166464691
179,부산광역시,중동119안전센터,부산광역시 해운대구 달맞이길 117번길 72(중동),051-760-6622,051-760-6629,35.160682681,129.175849868
180,대구광역시,구암119안전센터,대구광역시 북구 구암서로 71,053-607-5931,053-609-5939,35.942802620,128.565726143
181,대구광역시,군위119안전센터,대구광역시 군위군 군위읍 군위공단길 65,053-607-5981,,36.207588155,128.560416803
182,대구광역시,금호119안전센터,대구광역시 북구 한강로 105,053-607-5882,053-314-0119,35.896186169,128.521328354
183,대구광역시,무태119안전센터,대구광역시 북구 호국로43길 21,053-607-5961,053-952-2119,35.920920056,128.596896929
184,대구광역시,읍내119안전센터,대구광역시 북구 칠곡중앙대로 570,053-607-5941,053-321-0119,35.946424594,128.551550904
185,대구광역시,의흥119안전센터,대구광역시 군위군 의흥면 읍내길 23,053-607-5991,,36.176713533,128.713966415
186,대구광역시,태전119안전센터,대구광역시 북구 칠곡중앙대로 184,053-607-5951,053-312-0119,35.912352153,128.548841273
187,대구광역시,다사119안전센터,대구광역시 달성군 다사읍 달구벌대로 920,053-601-5621,053-587-4119,35.855431231,128.467381410
188,대구광역시,대천119안전센터,대구광역시 달서구 달서대로58길 129,053-601-5650,053-584-0120,35.824949333,128.506749748
189,대구광역시,매곡119안전센터,대구광역시 달성군 다사읍 달구벌대로 753,053-601-5661,053-591-0119,35.861162675,128.454194855
190,대구광역시,성서119안전센터,대구광역시 달서구 성서로 357,053-601-5631,053-583-0120,35.849529542,128.506866514
191,대구광역시,도원119안전센터,대구광역시 달서구 도원로 8,053-607-2970,053-636-8110,35.808997240,128.535630540
192,대구광역시,본리119안전센터,대구광역시 달서구 대명천로 134,053-607-2950,053-625-0119,35.839693708,128.545081819
193,대구광역시,송현119안전센터,대구광역시 달서구 월배로 262,053-607-2960,053-632-1990,35.820022686,128.542026559
194,대구광역시,월성119안전센터,대구광역시 달서구 학산로 75,053-607-2930,053-635-0228,35.831039620,128.534688524
195,대구광역시,죽전119안전센터,대구광역시 달서구 와룡로 222,053-607-2990,053-563-0120,35.852595504,128.537639615
196,대구광역시,구지119안전센터,대구광역시 달성군 구지면 달성2차로 111,053-602-4970,053-611-1197,35.640050140,128.418983050
197,대구광역시,논공119안전센터,대구광역시 달성군 논공읍 논공중앙로33길 5,053-602-4950,053-615-6119,35.730100784,128.453021509
198,대구광역시,옥포119안전센터,대구광역시 달성군 옥포읍 돌미로 93,053-602-4980,053-615-9195,35.781396748,128.443882397
199,대구광역시,현풍119안전센터,대구광역시 달성군 현풍읍 비슬로 480,053-602-4930,053-670-5426,35.682595485,128.446960450
200,대구광역시,화원119안전센터,대구광역시 달성군 화원읍 화암로 122,053-602-4960,053-639-2119,35.798785549,128.501653039
201,대구광역시,공산119안전센터,대구광역시 동구 팔공산로 1579,053-605-5361,053-982-5119,35.962768432,128.697731198
202,대구광역시,동촌119안전센터,대구광역시 동구 해동로 180,053-605-5331,053-985-9119,35.886709426,128.648442976
203,대구광역시,불로119안전센터,대구광역시 동구 팔공로50길 19,053-605-5351,053-982-6119,35.922027608,128.643946426
204,대구광역시,신천119안전센터,대구광역시 동구 동대구로 507,053-605-5321,053-755-3119,35.875940849,128.625342761
205,대구광역시,안심119안전센터,대구광역시 동구 매여로 102,053-605-5341,053-961-4119,35.889082561,128.708651238
206,대구광역시,율하119안전센터,대구광역시 동구 율하동로8길 5,053-605-5371,053-964-8911,35.862088885,128.701962856
207,대구광역시,노원119안전센터,대구광역시 북구 노원로 42,053-350-5751,053-350-5729,35.892150164,128.567391244
208,대구광역시,대현119안전센터,대구광역시 북구 대현로 105,053-350-5770,053-350-5779,35.882442134,128.610629878
209,대구광역시,산격119안전센터,대구광역시 북구 유통단지로8길 88,053-350-5791,053-350-5799,35.906112188,128.614236302
210,대구광역시,칠성119안전센터,대구광역시 북구 칠성남로 112,053-350-5721,053-350-5729,35.878001521,128.592313786
211,대구광역시,침산119안전센터,대구광역시 북구 침산남로 149,053-350-5749,053-353-0119,35.888280319,128.592302839
212,대구광역시,내당119안전센터,대구광역시 서구 서대구로3길 16,053-320-4495,053-557-0119,35.859437944,128.555261137
213,대구광역시,비산119안전센터,대구광역시 서구 달서로 206,053-320-4496,053-565-5119,35.880453572,128.572017677
214,대구광역시,이현119안전센터,대구광역시 서구 국채보상로 119,053-320-4493,053-552-0119,35.869080554,128.544138969
215,대구광역시,평리119안전센터,대구광역시 서구 달서천로 186,053-320-4492,053-352-8953,35.881917127,128.554389233
